depdom,ADEC,MDEC,JDEC,dc_j
01,2019,1,8,15
01,2019,1,9,18
01,2019,1,10,20
01,2019,1,11,16
01,2019,1,12,20
01,2019,1,13,18
01,2019,1,14,15
01,2019,1,15,18
01,2019,1,16,13
01,2019,1,17,21
01,2019,1,18,21
01,2019,1,19,18
01,2019,1,20,20
01,2019,1,21,14
01,2019,1,22,10
01,2019,1,23,13
01,2019,1,24,15
01,2019,1,25,17
01,2019,1,26,16
01,2019,1,27,10
01,2019,1,28,18
01,2019,1,29,11
01,2019,1,30,15
01,2019,1,31,12
01,2019,2,1,25
01,2019,2,2,15
01,2019,2,3,14
01,2019,2,4,10
01,2019,2,5,8
01,2019,2,6,14
01,2019,2,7,16
01,2019,2,8,19
01,2019,2,9,19
01,2019,2,10,19
01,2019,2,11,12
01,2019,2,12,12
01,2019,2,13,18
01,2019,2,14,17
01,2019,2,15,19
01,2019,2,16,14
01,2019,2,17,14
01,2019,2,18,9
01,2019,2,19,26
01,2019,2,20,24
01,2019,2,21,15
01,2019,2,22,20
01,2019,2,23,16
01,2019,2,24,9
01,2019,2,25,11
01,2019,2,26,23
01,2019,2,27,13
01,2019,2,28,18
01,2019,3,1,17
01,2019,3,2,22
01,2019,3,3,15
01,2019,3,4,11
01,2019,3,5,16
01,2019,3,6,13
01,2019,3,7,12
01,2019,3,8,12
01,2019,3,9,11
01,2019,3,10,15
01,2019,3,11,16
01,2019,3,12,9
01,2019,3,13,13
01,2019,3,14,19
01,2019,3,15,14
01,2019,3,16,12
01,2019,3,17,13
01,2019,3,18,15
01,2019,3,19,13
01,2019,3,20,20
01,2019,3,21,8
01,2019,3,22,14
01,2019,3,23,13
01,2019,3,24,15
01,2019,3,25,12
01,2019,3,26,16
01,2019,3,27,12
01,2019,3,28,22
01,2019,3,29,12
01,2019,3,30,17
01,2019,3,31,9
01,2019,4,1,14
01,2019,4,2,15
01,2019,4,3,14
01,2019,4,4,21
01,2019,4,5,9
01,2019,4,6,18
01,2019,4,7,17
01,2019,4,8,8
01,2019,4,9,12
01,2019,4,10,15
01,2019,4,11,10
01,2019,4,12,13
01,2019,4,13,12
01,2019,4,14,10
01,2019,4,15,10
01,2019,4,16,12
01,2019,4,17,17
01,2019,4,18,10
01,2019,4,19,12
01,2019,4,20,14
01,2019,4,21,11
01,2019,4,22,18
01,2019,4,23,15
01,2019,4,24,13
01,2019,4,25,16
01,2019,4,26,16
01,2019,4,27,13
01,2019,4,28,13
01,2019,4,29,12
01,2019,4,30,12
01,2019,5,1,15
01,2019,5,2,10
01,2019,5,3,12
01,2019,5,4,13
01,2019,5,5,14
01,2019,5,6,14
01,2019,5,7,16
01,2019,5,8,11
01,2019,5,9,13
01,2019,5,10,13
01,2019,5,11,16
01,2019,5,12,18
01,2019,5,13,11
01,2019,5,14,15
01,2019,5,15,7
01,2019,5,16,17
01,2019,5,17,9
01,2019,5,18,15
01,2019,5,19,11
01,2019,5,20,11
01,2019,5,21,10
01,2019,5,22,13
01,2019,5,23,19
01,2019,5,24,8
01,2019,5,25,12
01,2019,5,26,8
01,2019,5,27,15
01,2019,5,28,16
01,2019,5,29,14
01,2019,5,30,12
01,2019,5,31,13
01,2019,6,1,15
01,2019,6,2,11
01,2019,6,3,9
01,2019,6,4,19
01,2019,6,5,8
01,2019,6,6,16
01,2019,6,7,13
01,2019,6,8,12
01,2019,6,9,17
01,2019,6,10,4
01,2019,6,11,15
01,2019,6,12,19
01,2019,6,13,11
01,2019,6,14,9
01,2019,6,15,14
01,2019,6,16,13
01,2019,6,17,11
01,2019,6,18,12
01,2019,6,19,17
01,2019,6,20,9
01,2019,6,21,15
01,2019,6,22,12
01,2019,6,23,11
01,2019,6,24,12
01,2019,6,25,8
01,2019,6,26,9
01,2019,6,27,12
01,2019,6,28,10
01,2019,6,29,17
01,2019,6,30,9
01,2019,7,1,13
01,2019,7,2,12
01,2019,7,3,13
01,2019,7,4,10
01,2019,7,5,14
01,2019,7,6,11
01,2019,7,7,8
01,2019,7,8,12
01,2019,7,9,13
01,2019,7,10,15
01,2019,7,11,14
01,2019,7,12,12
01,2019,7,13,14
01,2019,7,14,9
01,2019,7,15,14
01,2019,7,16,14
01,2019,7,17,13
01,2019,7,18,18
01,2019,7,19,8
01,2019,7,20,17
01,2019,7,21,12
01,2019,7,22,18
01,2019,7,23,10
01,2019,7,24,6
01,2019,7,25,11
01,2019,7,26,18
01,2019,7,27,11
01,2019,7,28,16
01,2019,7,29,19
01,2019,7,30,15
01,2019,7,31,8
01,2019,8,1,11
01,2019,8,2,8
01,2019,8,3,15
01,2019,8,4,15
01,2019,8,5,11
01,2019,8,6,13
01,2019,8,7,16
01,2019,8,8,16
01,2019,8,9,13
01,2019,8,10,14
01,2019,8,11,9
01,2019,8,12,10
01,2019,8,13,15
01,2019,8,14,16
01,2019,8,15,8
01,2019,8,16,13
01,2019,8,17,11
01,2019,8,18,6
01,2019,8,19,14
01,2019,8,20,17
01,2019,8,21,15
01,2019,8,22,11
01,2019,8,23,8
01,2019,8,24,17
01,2019,8,25,11
01,2019,8,26,11
01,2019,8,27,21
01,2019,8,28,19
01,2019,8,29,9
01,2019,8,30,22
01,2019,8,31,10
01,2019,9,1,12
01,2019,9,2,9
01,2019,9,3,15
01,2019,9,4,16
01,2019,9,5,12
01,2019,9,6,8
01,2019,9,7,14
01,2019,9,8,11
01,2019,9,9,12
01,2019,9,10,14
01,2019,9,11,11
01,2019,9,12,11
01,2019,9,13,12
01,2019,9,14,5
01,2019,9,15,11
01,2019,9,16,18
01,2019,9,17,11
01,2019,9,18,11
01,2019,9,19,13
01,2019,9,20,10
01,2019,9,21,8
01,2019,9,22,14
01,2019,9,23,11
01,2019,9,24,17
01,2019,9,25,12
01,2019,9,26,11
01,2019,9,27,7
01,2019,9,28,13
01,2019,9,29,14
01,2019,9,30,10
01,2019,10,1,14
01,2019,10,2,19
01,2019,10,3,7
01,2019,10,4,19
01,2019,10,5,15
01,2019,10,6,17
01,2019,10,7,12
01,2019,10,8,14
01,2019,10,9,14
01,2019,10,10,14
01,2019,10,11,15
01,2019,10,12,9
01,2019,10,13,10
01,2019,10,14,11
01,2019,10,15,19
01,2019,10,16,15
01,2019,10,17,17
01,2019,10,18,11
01,2019,10,19,9
01,2019,10,20,19
01,2019,10,21,11
01,2019,10,22,11
01,2019,10,23,10
01,2019,10,24,15
01,2019,10,25,12
01,2019,10,26,17
01,2019,10,27,12
01,2019,10,28,10
01,2019,10,29,12
01,2019,10,30,17
01,2019,10,31,12
01,2019,11,1,15
01,2019,11,2,13
01,2019,11,3,11
01,2019,11,4,13
01,2019,11,5,12
01,2019,11,6,13
01,2019,11,7,16
01,2019,11,8,18
01,2019,11,9,10
01,2019,11,10,7
01,2019,11,11,16
01,2019,11,12,14
01,2019,11,13,18
01,2019,11,14,13
01,2019,11,15,13
01,2019,11,16,10
01,2019,11,17,16
01,2019,11,18,18
01,2019,11,19,15
01,2019,11,20,14
01,2019,11,21,22
01,2019,11,22,17
01,2019,11,23,13
01,2019,11,24,10
01,2019,11,25,15
01,2019,11,26,9
01,2019,11,27,15
01,2019,11,28,10
01,2019,11,29,12
01,2019,11,30,12
01,2019,12,1,16
01,2019,12,2,18
01,2019,12,3,16
01,2019,12,4,18
01,2019,12,5,14
01,2019,12,6,13
01,2019,12,7,16
01,2019,12,8,14
01,2019,12,9,10
01,2019,12,10,23
01,2019,12,11,13
01,2019,12,12,14
01,2019,12,13,19
01,2019,12,14,15
01,2019,12,15,11
01,2019,12,16,16
01,2019,12,17,16
01,2019,12,18,10
01,2019,12,19,14
01,2019,12,20,18
01,2019,12,21,17
01,2019,12,22,17
01,2019,12,23,14
01,2019,12,24,15
01,2019,12,25,15
01,2019,12,26,18
01,2019,12,27,12
01,2019,12,28,8
01,2019,12,29,16
01,2019,12,30,21
01,2019,12,31,10
02,2018,1,1,21
02,2018,1,2,18
02,2018,1,3,12
02,2018,1,4,23
02,2018,1,5,14
02,2018,1,6,20
02,2018,1,7,18
02,2018,1,8,13
02,2018,1,9,22
02,2018,1,10,19
02,2018,1,11,25
02,2018,1,12,14
02,2018,1,13,19
02,2018,1,14,22
02,2018,1,15,18
02,2018,1,16,20
02,2018,1,17,23
02,2018,1,18,14
02,2018,1,19,27
02,2018,1,20,17
02,2018,1,21,22
02,2018,1,22,11
02,2018,1,23,13
02,2018,1,24,24
02,2018,1,25,12
02,2018,1,26,23
02,2018,1,27,10
02,2018,1,28,14
02,2018,1,29,15
02,2018,1,30,11
02,2018,1,31,19
02,2018,2,1,18
02,2018,2,2,8
02,2018,2,3,15
02,2018,2,4,16
02,2018,2,5,23
02,2018,2,6,14
02,2018,2,7,23
02,2018,2,8,21
02,2018,2,9,30
02,2018,2,10,22
02,2018,2,11,20
02,2018,2,12,23
02,2018,2,13,19
02,2018,2,14,16
02,2018,2,15,15
02,2018,2,16,15
02,2018,2,17,11
02,2018,2,18,21
02,2018,2,19,15
02,2018,2,20,13
02,2018,2,21,23
02,2018,2,22,19
02,2018,2,23,23
02,2018,2,24,20
02,2018,2,25,14
02,2018,2,26,19
02,2018,2,27,15
02,2018,2,28,31
02,2018,3,1,16
02,2018,3,2,17
02,2018,3,3,28
02,2018,3,4,19
02,2018,3,5,27
02,2018,3,6,29
02,2018,3,7,21
02,2018,3,8,28
02,2018,3,9,20
02,2018,3,10,21
02,2018,3,11,24
02,2018,3,12,23
02,2018,3,13,25
02,2018,3,14,26
02,2018,3,15,29
02,2018,3,16,26
02,2018,3,17,29
02,2018,3,18,12
02,2018,3,19,20
02,2018,3,20,17
02,2018,3,21,26
02,2018,3,22,26
02,2018,3,23,15
02,2018,3,24,18
02,2018,3,25,20
02,2018,3,26,12
02,2018,3,27,11
02,2018,3,28,15
02,2018,3,29,12
02,2018,3,30,19
02,2018,3,31,20
02,2018,4,1,17
02,2018,4,2,18
02,2018,4,3,15
02,2018,4,4,16
02,2018,4,5,14
02,2018,4,6,12
02,2018,4,7,16
02,2018,4,8,14
02,2018,4,9,16
02,2018,4,10,20
02,2018,4,11,18
02,2018,4,12,23
02,2018,4,13,19
02,2018,4,14,22
02,2018,4,15,12
02,2018,4,16,23
02,2018,4,17,12
02,2018,4,18,17
02,2018,4,19,14
02,2018,4,20,25
02,2018,4,21,13
02,2018,4,22,12
02,2018,4,23,17
02,2018,4,24,16
02,2018,4,25,14
02,2018,4,26,14
02,2018,4,27,9
02,2018,4,28,12
02,2018,4,29,17
02,2018,4,30,12
02,2018,5,1,19
02,2018,5,2,18
02,2018,5,3,22
02,2018,5,4,20
02,2018,5,5,8
02,2018,5,6,18
02,2018,5,7,11
02,2018,5,8,11
02,2018,5,9,11
02,2018,5,10,15
02,2018,5,11,15
02,2018,5,12,14
02,2018,5,13,13
